data;valor
01/01/1991;4,63
01/02/1991;4,66
01/03/1991;4,93
01/04/1991;5,2
01/05/1991;5,57
01/06/1991;6,12
01/07/1991;6,61
01/08/1991;7,51
01/09/1991;9,01
01/10/1991;11,95
01/11/1991;15,02
01/12/1991;18,78
01/01/1992;22,68
01/02/1992;27,71
01/03/1992;35,68
01/04/1992;41,39
01/05/1992;49,09
01/06/1992;59,62
01/07/1992;72,96
01/08/1992;88,41
01/09/1992;111,79
01/10/1992;140,81
01/11/1992;169,72
01/12/1992;221,82
01/01/1993;270
01/02/1993;349,73
01/03/1993;445,32
01/04/1993;563,65
01/05/1993;693,21
01/06/1993;886,02
01/07/1993;1152,62
01/08/1993;1581,05
01/09/1993;2090,98
01/10/1993;2783,05
01/11/1993;3690,82
01/12/1993;5194,23
01/01/1994;7196,67
01/02/1994;10250,42
01/03/1994;14638,16
01/04/1994;27200,79
01/05/1994;38731,61
01/06/1994;56875,76
01/07/1994;68176,07
01/08/1994;66728,83
01/09/1994;65874,41
01/10/1994;64942,25
01/11/1994;65486,67
01/12/1994;65836,21
01/01/1995;65274,64
01/02/1995;68307,67
01/03/1995;71296,62
01/04/1995;71966,7
01/05/1995;70682,79
01/06/1995;75852,07
01/07/1995;78564,27
01/08/1995;78458,85
01/09/1995;80800,42
01/10/1995;83612,61
01/11/1995;85909,63
01/12/1995;90406,3
01/01/1996;92146,47
01/02/1996;94066,03
01/03/1996;91651,35
01/04/1996;95745
01/05/1996;104616,41
01/06/1996;112409,73
01/07/1996;115458,74
01/08/1996;117721,63
01/09/1996;119136,71
01/10/1996;121901,22
01/11/1996;124910,11
01/12/1996;128413,28
01/01/1997;131309,25
01/02/1997;132468,77
01/03/1997;133100,28
01/04/1997;134699,97
01/05/1997;134449,66
01/06/1997;130265,91
01/07/1997;132544,64
01/08/1997;132251,89
01/09/1997;143185,97
01/10/1997;149394,8
01/11/1997;153923,84
01/12/1997;167741,82
01/01/1998;173816,83
01/02/1998;177389,89
01/03/1998;177525,67
01/04/1998;182408,18
01/05/1998;186391,04
01/06/1998;195800,2
01/07/1998;199138,17
01/08/1998;195601,71
01/09/1998;201509,13
01/10/1998;208043,92
01/11/1998;225821,3
01/12/1998;231267,74
01/01/1999;305517,1
01/02/1999;317823,66
01/03/1999;290165,96
01/04/1999;287156,74
01/05/1999;298092,53
01/06/1999;302199,24
01/07/1999;306094,84
01/08/1999;317659,47
01/09/1999;315698,57
01/10/1999;321633,77
01/11/1999;318398,98
01/12/1999;316221,69
01/01/2000;321797,85
01/02/2000;323486,02
01/03/2000;321925,37
01/04/2000;329618,9
01/05/2000;333971,2
01/06/2000;334276,05
01/07/2000;335626,34
01/08/2000;330881,45
01/09/2000;332033,3
01/10/2000;342280,95
01/11/2000;348492,07
01/12/2000;352966,95
01/01/2001;337611,99
01/02/2001;346552,5
01/03/2001;355037,5
01/04/2001;360694,52
01/05/2001;374879,99
01/06/2001;378378,89
01/07/2001;395250,93
01/08/2001;408431,08
01/09/2001;418457,6
01/10/2001;418907,03
01/11/2001;405832,79
01/12/2001;411771,96
01/01/2002;427044,38
01/02/2002;423143,19
01/03/2002;422704,98
01/04/2002;427928,57
01/05/2002;447092,35
01/06/2002;481821,31
01/07/2002;535669,06
01/08/2002;504766,7
01/09/2002;587662,06
01/10/2002;568616,41
01/11/2002;565261,7
01/12/2002;560828,82
01/01/2003;564412,4
01/02/2003;575040,65
01/03/2003;558910,11
01/04/2003;510678
01/05/2003;526104,73
01/06/2003;527220,13
01/07/2003;546644,87
01/08/2003;560887,02
01/09/2003;561166,35
01/10/2003;557506,39
01/11/2003;570562,83
01/12/2003;578748
01/01/2004;583404,26
01/02/2004;583282,34
01/03/2004;580776,28
01/04/2004;583277,06
01/05/2004;597730,92
01/06/2004;596267,76
01/07/2004;593278,72
01/08/2004;592478,9
01/09/2004;588017,42
01/10/2004;592924,92
01/11/2004;590792,38
01/12/2004;601477,71
01/01/2005;603635,49
01/02/2005;607554,64
01/03/2005;613739,76
01/04/2005;602637,25
01/05/2005;606148,71
01/06/2005;617106,93
01/07/2005;625108,05
01/08/2005;632483,03
01/09/2005;637990,27
01/10/2005;643705,54
01/11/2005;650952,31
01/12/2005;664223,62
01/01/2006;674374,64
01/02/2006;680573,57
01/03/2006;685942,22
01/04/2006;681906,94
01/05/2006;685517,66
01/06/2006;692516,85
01/07/2006;698395,18
01/08/2006;705073,5
01/09/2006;712532,15
01/10/2006;715480,7
01/11/2006;721825,71
01/12/2006;735799,88
01/01/2007;735219,2
01/02/2007;743454,49
01/03/2007;756150,64
01/04/2007;753917,32
01/05/2007;772360,73
01/06/2007;774910,42
01/07/2007;785558,41
01/08/2007;779456,16
01/09/2007;798767,91
01/10/2007;809074,8
01/11/2007;802270,82
01/12/2007;816680,81
01/01/2008;802152,55
01/02/2008;816488,34
01/03/2008;802462,43
01/04/2008;810855,61
01/05/2008;827042,31
01/06/2008;833290,32
01/07/2008;840320,06
01/08/2008;828429,12
01/09/2008;782228,72
01/10/2008;742600,11
01/11/2008;704795,45
01/12/2008;728326,78
01/01/2009;749887,36
01/02/2009;751727,35
01/03/2009;762159,28
01/04/2009;789076,06
01/05/2009;829480,45
01/06/2009;845869,65
01/07/2009;871504,21
01/08/2009;878172,58
01/09/2009;916177,62
01/10/2009;921382,5
01/11/2009;919512,5
01/12/2009;932535,29
01/01/2010;903896,84
01/02/2010;926827,67
01/03/2010;948069,64
01/04/2010;951442,44
01/05/2010;948538,76
01/06/2010;956157,06
01/07/2010;976425,16
01/08/2010;985808,53
01/09/2010;980783,76
01/10/2010;979357,14
01/11/2010;989010,62
01/12/2010;1001116,78
01/01/2011;1000711,9
01/02/2011;1014687,71
01/03/2011;1028186,03
01/04/2011;1037957,72
01/05/2011;1049026,67
01/06/2011;1060880,54
01/07/2011;1064764,6
01/08/2011;1068430,65
01/09/2011;992264,2
01/10/2011;1045548,1
01/11/2011;1015348
01/12/2011;1009191,85
01/01/2012;1051669,84
01/02/2012;1072325,15
01/03/2012;1044798,88
01/04/2012;1017171,81
01/05/2012;985860,38
01/06/2012;990833,09
01/07/2012;986947,77
01/08/2012;998020,56
01/09/2012;1001501,57
01/10/2012;1003346,15
01/11/2012;995043,94
01/12/2012;1002204,69
01/01/2013;1014926,18
01/02/2013;1045396,84
01/03/2013;1045582,82
01/04/2013;1051448,78
01/05/2013;1026880,32
01/06/2013;1020523,62
01/07/2013;1003866,7
01/08/2013;996840,18
01/09/2013;1059684,54
01/10/2013;1070861,12
01/11/2013;1021653,19
01/12/2013;1025357,79
01/01/2014;1010408,33
01/02/2014;1049860,99
01/03/2014;1081083,2
01/04/2014;1081398,88
01/05/2014;1105659,93
01/06/2014;1136284,02
01/07/2014;1149300,81
01/08/2014;1186859,5
01/09/2014;1182446,22
01/10/2014;1197411,22
01/11/2014;1192672,63
01/12/2014;1200679,58
01/01/2015;1207401,92
01/02/2015;1189108,19
01/03/2015;1140312,88
01/04/2015;1190414,25
01/05/2015;1183268,82
01/06/2015;1238357,26
01/07/2015;1204133,52
01/08/2015;1166551,72
01/09/2015;1124054,7
01/10/2015;1183371,67
01/11/2015;1227352,43
01/12/2015;1312961,73
01/01/2016;1292031,16
01/02/2016;1399516,92
01/03/2016;1533881,44
01/04/2016;1575573,76
01/05/2016;1588570,55
01/06/2016;1746541,89
01/07/2016;1820041,3
01/08/2016;1836057,82
01/09/2016;1897749,65
01/10/2016;1918936,31
01/11/2016;1928827,75
01/12/2016;2090132,66
01/01/2017;2132968,21
01/02/2017;2193846,89
01/03/2017;2228561,77
